name,review,rating
igor scarabelli,"Esse sem dúvidas é o pior banco que eu já vi na minha vida.

Não caiam na propaganda de influenciadores e geradores de contéudo que falam para utilizar o cartão C6 para ganhar milhas porquê isso é tudo furada, pode até te oferecer bastante pontos mas você irá perder dinheiro é de outra forma (e muito mais dinheiro).

O sistema (app) deles diferente de outros bancos é péssimo, no primeiro mês funcionou corretamente mas a partir do segundo mês ele não reconhecia o pagamento das faturas do cartão de crédito, não descontava o que você pagou da fatura e para piorar jogava todo saldo devedor para o mês seguinte (COM JUROS).

Liguei para resolverem meu problema antes da virada do cartão e nada foi feito, agora vou ter que arcar com os encargos (juros) da fatura que não é pouco.

Vou entrar com processo, vocês são horríveis.",1.0
Roger Meyer,"O pior banco que existe para criar relacionamento. Sou cliente há mais de 2 anos, sempre usando cartão de crédito consumindo todo o limite ridículo que me impuseram e pagando a fatura adiantado para poder usar denovo. Até hoje aumento ZERO de limite. Renda superior a 5 mil por mês, mais de 10 mil investidos pela conta e até hoje só liberaram o cartãozinho xifrim de entrada deles. Se você tenta contato pelo CHAT vem um robô com respostas padrão para perguntas previamente já estabelecidas pelo próprio banco. Se você entra em contato com o fone, o funcionário não pode fazer nada. Enfim, vou retirar toda minha movimentação financeira dessa joça.
E NÃO ADIANTA VIR COM ESSA REPOSTAZINHA PADRÃO AI DE ""ENTRE EM CONTATO CONOSCO ATRAVÉS DO CHAT"" vocês já fazem isso pq sabe que não funciona seus irresponsáveis.",1.0
Bianca S. P. Maggioni,"Banco péssimo!!!!!!!! Investi o dinheiro da minha mãe no CDB cartão de crédito pensando estar fazendo algo bom pra ela, pagamos a fatura com dois dias de atraso, e mesmo assim o C6 surrupiou o dinheiro dela que estava investido, recebendo DUAS vezes o valor da fatura, sendo que o contrato previa até 7 dias de atraso. Agora eu ligo lá e eles pedem CINCO dias pra alguém entrar em contato com ela. Enquanto isso vamos tomando prejuízos com contas em atraso de todos os lados.
Além de estarem retendo um dinheiro ilegalmente, descumpriram uma clausula contratual que eles mesmo impuseram que previa 7 dias de atraso para desconto direto no valor investido.
Engraçado como surrupiam com um dinheiro tão rápido mas pra devolver não tem interesse algum.
Retêm um dinheiro de extrema precisão para nós meros mortais de maneira ilegal e ainda impõem um prazo absurdo pra resolver algo tão simples DEVOLVER UM DINHEIRO QUE PERTENCE À UMA PESSOA que precisa urgentemente pagar CONTAS.
Eu como advogada me sinto péssima de ter colocado minha mãe nessa roubada.
Já fui fã do banco, indiquei pra um monte de gente, sempre fiz a maior propaganda pra todos, falava dos benefícios, do cdb cartão de crédito como uma forma de facilitar crédito, mas agora me sinto completamente frustrada, mesmo porque, se EU não tivesse tomado frente em ligar lá e falar sobre a ilegalidade cometida, eles tinham enrolado minha mãe.
Quando argumentei com eles, pediram primeiro 5 dias, depois 2 e depois disseram que tentariam resolver no mesmo dia. 2 dias se passaram desde então e nem sequer entraram em contato com  ela. Ver ela passando por isso, é paralisante.
Só consegui evitar o atraso nas contas a serem pagas porque consegui com meu pai o cartão dele emprestado.
Enfim, se vocês querem um banco de confiança para guardar seu dinheiro este com certeza não é o que vocês estão procurando.
O dinheiro da minha mãe deveria estar lá como era da vontade dela, pra que ELA pudesse dispor como bem entendesse, além de que deveria estar rendendo onde ela colocou, mas foi surrupiado por um banco irresponsável que dispõe como quer do dinheiro das pessoas.
Assim que resolvido com certeza, vou encerrar minha conta e a dela com esse banco, e não vou deixar de procurar os direitos da minha mãe por toda esse abalo emocional que ela não deveria estar passando, se não fosse essa prestação de serviço falha e ilegal desse banco que promete muito e não cumpre nada.",1.0
Osiris Pereira,"Infelizmente não tem como dar 0 estrelas.

Abri uma conta no banco C6 para ter acesso a um cartão de crédito em que gastos de aplicativos de pagamento pontuem na Livelo, já que os cartões do Bradesco e Itaú cortaram esse tipo de transação dos programas de fidelidade. Me surpreendi quando recebi um cartão do C6 sem limite algum. Logo em seguida, me informei que, para ter limite no cartão, seria necessário investir dinheiro em um dos fundos do banco ou então enviar a última declaração do IR para análise. Por ter um perfil bastante seguro, me surpreendi novamente ao ter a disponibilização do limite do cartão negada, depois de enviar a declaração várias vezes e só receber respostas automáticas,  Na resposta ao meu pedido também fui informado que minha conta era muito recente e eu deveria esperar 15 dias para solicitar limite novamente.
Aguardei os 15 dias e a minha nova solicitação foi negada sumariamente no chat e no atendimento telefônico. Ontem eu finalizei a conta neste banco.

Quem foi enganado pelo banco e veio aqui atraído pela nota baixa no Google, assim como eu, experimente verificar o site Reclame aqui, onde a instituição tem quase 40 mil reclamações, até a data deste comentário. A imensa maioria é respondida com textos padrão e os clientes seguem desamparados. Não sei se o banco está falindo ou se há outro problema, mas recomendo a qualquer um que tenha se esforçado para juntar  dinheiro a passar longe do banco.",1.0
Felipe Alves de sousa,"Esse e verdadeiramente o banco da china,e tão ruim que vive dando problema,parece até chinguilingui,tenho conta a 3 anos,só me deu dor de cabeça e problemas,não tem telefone para falar com alguém do suporte,meu cartão da conta pedir e não chegou isso já vai fazer mais de dois anos,liguei para lá não consigo falar com ninguém,o atendente especialista muitos são mal educado,encerra a sessão na do nada sem ter finalizado a operação e sem me dar uma resposta plausível; e fora limite que me deram no cartão e foi de 100 reais ou seja mais de três anos de conta não me deram vantagem alguma e agora para piorar tudo,a bloquearam a minha conta,com o dinheiro que eu ia colocar de crédito no meu cartão de passagem,para eu ir embora para casa do trabalho,o dinheiro que a empresa depositou pra mim tá bloqueado,estou muito insatisfeito com esse banco,não recomendo ele para ninguém,assim que tira meu dinheiro de lá encerrarei a minha conta,cansei já estou de saco cheio.    ",1.0
Caio Moraes,"Péssima experiência com a instituição. Ainda bem que eles nunca foram minha principal opção bancária. Mesmo movimentando a conta, pagando antecipado todas as faturas do cartão de crédito, realizando investimento, recebo hoje 15/09/23 uma mensagem de que após uma análise automática e avaliação cuidadosa para uma experiência mais segura e de acordo com as políticas internas do banco, minha conta foi programada para ser encerrada em 30 dias, por desinteresse comercial. Ou seja, o banco te oferece coberturas de segurança, aliás no meu caso toda vez que abro o app já vem a mensagem de oferta de serviços, e pelo fato de não me interessar nos serviços oferecidos, eles simplesmente resolvem encerrar a conta do cliente. PARABÉNS e sucesso!!!",1.0
Renato Fernandes Ferreira,"Os únicos produtos que não tive problema foram as contas globais (Euro e Dolar), no mais tive problemas com todos os demais produtos do banco. Ações que sumiram e depois apareceram, investimento em CDB que resgatado não caiu na conta, pontos não creditados do C6 átomos e agora cobrança do uso da sala vip, sem estorno. Pagar anuidade de R$ 85,00 por mês de um cartão, ter problema e não conseguir falar com um atendente é um absurdo. Contato só pelo ReclameAqui e mesmo assim só registro, sem retorno. Era um ótimo banco, mas no último ano só vai ladeira a baixo.",1.0
Edu Lins,"A única coisa que me prende ao banco é o plano de milhas. De resto, só piora. Cortaram o suporte humano por ligação e por chat, valores contabilizam na fatura dias após a compra (não era assim quando comecei), mudaram a data de fechamento da minha fatura sem qualquer aviso e o app é ruim. Metade da tela é ocupada por produtos do banco que você não consegue tirar, tem que descer até o fim pra chegar na fatura e ainda clicar no ícone do olho toda vez que entra no app pra ver os números. Resumindo, é um banco que paga de moderno bem mais do que realmente é.",1.0
Joao Martins,"atrasei uns poucos dias o pagamento da fatura do cartão de credito e tenho recebido ligações a cada meia hora , uma coisa alucinante, mesmo depois de 5 dias de ter efetuado o pagamento e mais de 5 contatos por chat do app do banco! Eles ligaram até p meus parentes, algo inaceitável! Todos os atendentes dizem que vão resolver o problema com urgência e nada acontece. A cada 30 minutos uma ligação  no meu celular.",1.0
diego barussi,"Péssima experiência, tenho conta e cartão de crédito a 3 anos da empresa
Cancelei todos meus cartões de bancos físicos para ficar apenas com o C6
Já faz 4 meses que eles desativou a função crédito do meu cartão e zerou meu limite, nunca atrasei uma fatura pelo contrário, sempre paguei dia 1 sendo o vencimento dia 05
Hoje estou sem nenhum cartão com limite bom por conta dessa PALHAÇADA que fizeram comigo
Não indico, sempre tive um pé atrás com banco digital quando resolvi confiar aconteceu isso.
PÉSSIMO, fica aqui minha indignação com o mesmo, e você que está pensando em abrir uma conta aqui, pense muito bem antes.",1.0
Paulo de Melo Neto,"Infelizmente não cumprem prazos de resolver problemas SAC e Ouvidoria. CDB Cartão garantia fatura do Carbon Black e consta ATRASO. Nunca atrasei minhas faturas e só extende o problema. Digital mas sem comprometimento com o cliente em desenvolver uma experiência melhor. Causando desconforto e aquele pensamento que é só no nosso. Cliente alta renda, esquece, o seu dia chega, arapuca. Coitados dos funcionários, só que eles também são parte. Aposto como vão vir aqui e dizer para ir no chat do app. Palhaçada, já fiz dezenas de protocolos e telefonemas, nem na ouvidoria funciona, dizem que meus protocolos não existem. Você que trabalha lá está lendo e sabe que isso é verdade, não adianta ter respostinha copiada. Resolvam os problemas dos clientes inclusive o meu.",1.0
Tamires Alves,"Desde o dia q abri minha conta nunca tive nenhum problema, já vai p 3 anos
Quando usaram o meu cartão, que usou em outro estado ai eu entrei em contato no chat e na hora resolveram o meu problema. Mandaram um outro cartão foi rápido até não deu 1 semana já estava comigo
O pessoal do chat sempre me atenderam bem
É um banco q eu indico!
E agora vou pegar a maquinhinha, só esta meio salgado o preço    AJUDA AI C6!!",5.0
Lucas Mendes,"O pior atendimento dentre todos os bancos com os quais já tive contato. Enquanto funciona, tudo bem, mas se precisar de atendimento por qualquer motivo que que seja, você tá na roça. O aplicativo apresenta falha para autorização de dispositivo, não permitindo, por tanto, que vocês acesse o aplicativo. Se você procurar o atendimento deles, que é feito por um software / robô, não há opção em que você possa informar sobre essa falha e não há opção para falar com um especialista (humano). A única forma de entrar em contato com o atendimento humano é através do aplicativo, e se o seu problema for justamente o acesso ao aplicativo, você cai em um loop infinito. A solução é abrir reclamação no PROCON, que pode demorar semanas para ser resolvida. Tudo isso para acessar a conta. Nunca, jamais, em hipótese alguma migre o recebimento do salário pra lá.

ps: O atendimento deles é tão ruim que um bot vai responder a essa avaliação dizendo que eu sou muito importante pra eles e que eu devo usar o chat do aplicativo pra contar pra eles o que aconteceu. Mais uma resposta automática burra e de que nada ajuda já que o meu problema é justamente o acesso ao aplicativo.",1.0
andre ap egidio,"Esse banco não presta!!!!
Bloqueou o saldo e a  minha conta, agora  não consigo resolver amigavelmente o atendimento é um lixo, vou ter que acionar um advogado e procurar meus direitos .
Querem fazer uma analise de 7 dias pra desbloquear meu dinheiro lixo de banco ""fiquem atentos"" ..",1.0
Bruno Oliveira,"Nunca Abram conta neste banco, banco inseguro, quando tem um valor razoável no banco é problema na certa não consegue fazer pix, dá que o dispositivo não está liberado, te manda fazer um monte de procedimentos piscar virar afastar telefone e no fim não é possível concluir sua transação. E onde vai reclamar ? não tem um canal de atendimento que consiga falar com atendente.
No momento estou sem um real no bolso, pois a instituição que não é confiável não me deixa acessar a conta... para minha segurança ? Na parte da manha fiz um pix de R$10,00 agora tenho mais de 6000,00 na conta para fazer pagamentos das minhas despesas e não consigo sequer tirar o dinheiro.
Os juros das minhas contas em caso de atraso o Banco vai me reembolsar °?",1.0
Tiago Inovare,"Não recomendo o C6 pra ninguém, PÉSSIMO ATENDIMENTO E SUPORTE. Estou tentando pagar minha fatura pelo app e está dando erro, até aí tudo bem. Mas tenho falar com o suporte e mas todos os canais de atendimento são de atendimento automatizado com inteligência artificial que é PÉSSIMO, em nenhum momento me dão a opção de falar com um atendente. PÉSSIMO ATENDIMENTO",1.0
LFC Domingues,"É um banco digital, ponto.

Não consigo falar mais qualidades, mas queria apontar o que mais me dá raiva, motivo deu vir no google escrever essa review.

Qual a dificuldade em atualizar o valor da fatura imediatamente como qualquer outro banco digital?

Se vc utilizar o c6 num final de semana, só vai ver o valor total da fatura dias depois, fica tudo ""pendente"".

E se voce fizer pagamentos adiantados, só abate dias depois também ( o limite libera na hora mas o valor em sí, de apresentação , não)

resumindo, voce nunca sabe quanto deve, ótima estratégia pra enganar bobo.",3.0
João Revolti,"Levanto 3 grandes pontos positivos do C6 Bank:

1- Layout do app muito bom. Fácil de usar e bem intuitivo, com atalhos de pagamento e extrato completo.

2- Ótimos produtos, como C6 Tag, Pontos Átomos e etc.

3- Ótimo setor de investimento, estou muito satisfeito com os serviços de investimentos da C6 Invest.",5.0
Lucas Couto,"um verdadeiro desacaso no atendimento! O pior banco de todos para se ter relacionamento! O painel de átomos do aplicativo do meu pai não aparece e ele é cliente C6 carbon. Liguei 3 vezes lá e não resolveram o meu problema. Na primeira ligação, me deram o prazo de 5 dias úteis, não cumpriram. Na segunda ligação me deram o prazo de 48 horas, não cumpriram novamente. Um desacaso total com o cliente. Não recomendo a ninguém esse banco!",1.0
luciano grandini,Pessimo!!!   Fiquem de olho...  atrasei por 15 dias a conta do cartao de credito PJ... perdi todos os beneficios... agora para piorar ... colocaram um emprestimo para quitar meu cartao... com juros altissimo... e eu nunca requisitei o emprestimo.... e ninguem resolve isso....protocolo 202353907279 faz 20 dias que estou ligando e falando no chat... tenho todos os prints da conversa... atendentes mal preparado...  a ultima atendente  Beatriz G me disse que para acabar om o impasse era so pagar a divida... divida que eu nao contratei,1.0
Flavia Moreira,"O pior banco da face da Terra! Péssima assistência. Tive 1 problema, tolerei. Depois outro, tolerei novamente. Depois do terceiro problema, retirei oq eu tinha no banco e levei pro Nubank, que dispensa comentários. Deixei umas ações lá pq estavam em baixa para vender e, quando fui vender, meu dinheiro sumiu! Já acionei advogada, cartório...e meu dinheiro sumiu a mais de mês!!! Aquele chat ridículo com pessoas sem treinamento náo resolve nada (quando com sorte, vc consegue falar nele), e um telefone que parece ficar no meio do deserto pq ""vive fora de serviço"".  Se alguém odeia mais este banco que eu, desconheço. Insatisfação 101%! Péssimo, incompetente e nada profissional. Desrespeito total com o cliente. Fujam!",1.0
Marcela Koti Medeiros,"A mais de um ano me ligam, de 5 a 10 vezes por dia.
Pior procurando por uma tal de Simone, já implorei para retirarem meu número do cadastro, mas não tem respeito nenhum por ninguém, pelo tempo, pelo trabalho.
Tenho mais de 50 números bloqueados, mas a cada dia eles tornam a ligar de números diferentes.
Eu trabalho com vendas, não posso deixar de atender possíveis clientes.
Péssimossssss!!!!!!!",1.0
Denilson Nunes,"Quero parabenizar a toda equipe c6 Bank, pelo sarcasmo que fizeram comigo no telefone, bloquearam a minha conta, e ainda obtive um sarcasmo de um de seus atendentes,  francamente, eu apenas ligue e me prestei a essa humilhação porque não tinha outra conta PJ, mas já estou resolvendo esse problema, abrindo outra conta pra separar o dinheiro, pra não passar mais por esse constrangimento da compra na loja e muito menos de seus atendentes como tive.",1.0
Adeilson Cavalcanti,"Péssimo atendimento eu fiz pagamento dia 20/09/2023 e o valor não caiu na conta de quem ia receber, eu ligo falam que foi feito o estorno  ,mais na caiu na minha conta, esse valor sumiu, eu ligo cada pessoa fala algo diferente, eu quero meu dinheiro vou procurar meus direitos, isso é falta de respeito com os clientes.",1.0
Gislene Souza,"Estou decepcionada, irritada e bem chateada com o Banco C6, no dia 05 de julho 2023 foi feita uma TED com meu pagamento mensal , neste mesmo dia o sistema do banco esteve com problemas, inconsistência, e até o momento (07/07/23) não identifiquei o valor no meu extrato nem como entrada , nem com estorno ao banco de origem. Entrei encontro com SAC do banco que confirmou todas as situações relatadas , abriram um protocolo e me pediram comprovante da Ted com resposta ao e-mail , enviei em seguida , porém descubro que aconteceu a mesma coisa com outras pessoas correntista do C6 . Já liguei hoje várias vezes e sem reposta, pedem pra aguardar de 03 a 5 dias úteis, como se nossas contas esperassem e entendessem. Meu pagamento está desaparecido na nuvem deste banco  Não tem reposta , os atendentes não sabem o que dizer, não recebi nenhum contato do banco até agora, falta de respeito, descaso total. Vou procurar meus direitos e vou em todos os canais reclamar, reclamar até que algo seja feito.",1.0
Jessica Santos de Oliveira,"Boa tarde! Preciso falar com a central de vocês, porém está sendo impossível. Só estão me fornecendo o chat ou atendimento eletrônico que não solucionam o meu problema!
Já recebi diversas ligações que acredito ser de empresas terceirizadas, é que não conseguem solucionar o problema, me passam um tipo de 0800, mas que não completa ligações feitas por celulares.
Como vou conseguir entrar em contato e quitar minha divida integral se não tenho telefone fixo para falar com vocês?
Até e-mail eu já mandei no faleconosco mais sem sucesso. Não estou me negando a pagar, porém preciso de ajuda. O serviço que vocês fornecem são muito limitados. Preciso de ajuda!!!!",1.0
candido Oliveira,"É uma ótima oportunidade até você precisar de atendimento, quando precisei fazer a alteração do limite de um TED para CNPJ que tive que fazer para um fornecedor não consegui uma alma pra me ajudar nos canais de atendimento, e pior após passar as 24 horas de “protocolo” da empresa consegui finalmente fazer o TED e para minha surpresa voltou sem motivo especificado.

Ao tentar repetir a transação deu limite diário utilizado novamente    resumo tive atrito com o fornecedor atrasei entrega com o cliente e só não paguei multa porque o fornecedor foi muito complacente.

Depois desse dia mudei minha conta PJ para Nubank onde tenho atendimento quando preciso e meu dinheiro aplicado rende o CDI.",1.0
Isadora Schmitt,"O whatsapp só fica no atendimento robotizado, você tenta acessar  o portal com seu CPF e diz que não tem contrato, no aplicativo só da erro, vc liga para a central e a atendente é mais mal instruída que não sei o quê...

O contato é nulo, PENSEM BEM ANTES DE VIRAREM CLIENTE DISSO

Resposta da C6: Por favor, entre em contato pelo chat do app;;

Qual a parte que não entenderam que o app TAMBÉM DÁ PROBLEMA PRA ACESSAR.",1.0
Eduardo Chaves,"Em um mes usando o app e o banco já estou arrependido. Já fiquei com saldo incorreto na conta mais de uma vez e a unica coisa que consegui fazer foi esperar. Hoje investimento que fiz no começo do mês sumiu sem motivo aparente e fazer contato com o banco é impossível, dizem pra falar com o chat mas o bot só te da respostas prontas.",1.0
Raissa Farias,"Nossa tô com um tremendo ódio por esse banco eu precisa fazer um pagamento de 15 reais foram descontado 4 reais sem a minha permissão, liguei no sac o atendente chamado hanieri falou q eu tinha assinado o contrato sendo q em momento algum eu não assinei nada é assim que pedi a minha assinatura o mesmo disse q não iria mandar. Pois sou trabalhador e dependo de cada centavos que de mim pegaram 4 reais e desempataram a minha conta!!!!",1.0
Alison Eduardo,"O atendimento é via Boot e eles não dão atenção nenhuma para a solicitação dos clientes. Quando tenta fazer estorno o processo é lento e quase não acontece. Corram para a Nubank, lá a anuidade também é gratuita e pelo menos que atende a gente é pelo menos uma pessoa!
Pior experiência dentre todos os bancos que já tive!",1.0
Marcelo Boccia,Abrí minha conta recentemente não tenho como avaliar ainda mas pelo jeito não está agradando seus clientes e ao invés de tentar escutá-los de verdade ficam com respostas automáticas . Lamentável vou ficar um pouco e avaliar .,3.0
Maria do Carmo Caetano Wanderley,"O pior banco de todos! Investem em marketing e esquecem de investir em tecnologia. Todos os dias o app tem instabilidade
Sem falar em como isso prejudica o cliente.
Desde cedo tento fazer pix
Meu único dinheiro está preso e mesmo sem errar senha bloquearam meu acesso",1.0
Nicolas Crespo,"Muito ruim, toda vez que tento ver minha fatura aparece com erro e pede para tentar mais tarde. Realizei um pagamento da fatura pelo código que foi me enviado por sms mas minha fatura ainda aparece como atrasada, além de não ter um canal de comunicação bom, apenas um chat virtual com perguntas e respostas prontas…

Quero que isso seja resolvido logo.",1.0
Karina Matos,"Pior banco ! Estão retendo o saldo FGTS do meu esposo como se tivéssemos feito empréstimo mas fizemos apenas uma simulação. A gente tenta contato e em hipótese nenhuma a gente consegue , pedem pra falar pelo chat do App que é limitado e não tem opções !
Estamos sem solução do nosso caso e perdendo oportunidade de negócios !

Pessimooo",1.0
Mery Reis,"1 estrela porque não tem como da 0!
Ruim é pouco, atendimento no chat é IMPOSSÍVEL. Você que lute para resolver o problema, eles querem mais é que você desista. Limite de crédito cancelado sem justificativa é com eles também. Se você quer uma instituição financeira que não possa confiar, é essa aqui.",1.0
coisas aqui,"cuidem com essa instituição. são criminosos. se vc tiver algum problema em pagar as contas com eles, mesmo que seja uma dívida pequena e há poucos meses, eles começam a ligar pros parentes e chegam ao nível de enviar fatura. só não processei ainda porque me resta um pouco de paciência.",1.0
Bruno Novais,"Nunca tive problemas ao usar o aplicativo, todas minhas movimentações são feitas pelo C6, pagamentos, investimentos, transferências. Sempre que precisei também fui bem atendido pela minha gerente.",5.0
Wagner Neves,"Esse C6 é uma piada, abri minha conta e solicitei meu cartão de crédito me deram 18 mil de limite no cartão. Era o cartão que eu mais utilizava e sempre pagava até mesmo antes da data de vencimento, do dia pra noite cancelaram meu cartão de crédito zerando meu limite e que o cartão só funcionaria a função débito. Tentei entrar em contato com o banco porém eles só te atendem via chat por um robô que não resolve nada. Me senti humilhado por essa instituição, já tive experiências com vários bancos e isso nunca ocorreu, tenho cartão de crédito do Itaú a 10 anos e nunca tive problemas com ele.",1.0
Maria Fernanda Da Costa,"Pior banco pelo qual já passei. Começamos bem, com um bom limite de cartão, algumas linhas de credito, que me fizeram optar por movimentar a conta e transferir meu salario e outros ganhos  para ele. Pois bem, sou correntista a alguns anos, recebi ano passado um upgrade de cartão de credito (C6 Carbon,) amei. Eu viajo e por essa razão me interessei pelo cartão e seus  benefícios além das salas Vips em aeroportos.  Sempre fui boa pagadora, sempre paguei minhas faturas em dia, nunca fiquei devendo ao banco e para minha surpresa alguns meses após o upgrade, recebi um e-mail dizendo que naquele momento eles iriam reduzir meu limite de cartão de credito e eu praticamente fui informada que talvez o cartão black fosse demais para mim (Não com essas palavras). Tiraram meus benefícios, meu limite passou a ser 4 mil reais.. fiquei bem chateada, liguei para banco, tentei conversar, enviar comprovante de renda, nada adiantou,  para poder ter meus pontos do cartão do qual pedi cancelamento tive que solicitar outro de nível inferior e mesmo assim, demorei muito tempo para receber os pontos acumulados no carbon. Me senti humilhada, me senti lesada e nada foi feito em relação a isso. O tempo passou, continuei a utilizar o banco .  Decidi abrir uma conta global, viajei para o USA mês passado, comprei dólares através do banco, movimentei, gastei no cartão mesmo sendo um limite baixo, utilizei o cartão global para compras, fiz varias operações de cambio e, nos últimos dias de viagem recebo um e-mail dizendo que o meu cartão de credito havia sido cancelado pela minha saúde financeira.... OI? O MAIOR ABSURDO QUE  PUDE RECEBER DE UMA INSTITUIÇÃO. REPUDIEI TAL E-MAIL. PROCESSO É O QUE  VOCES MERECEM DESQUALIFICANDO PESSOAS DESSA MANEIRA. Se eu estou em viagem de férias, comprando dólar, movimentando conta, com toda a certeza não preciso de cuidados com minha saúde financeira. Trabalho, sou digna , pago minhas contas em dia, e isso me faz crer, que todas as reclamações que vi nesses anos todos sobre esse tipo de atitude do banco, são reais. Uma instituição que faz esse tipo de coisa com um cliente de anos intitulamos do que ? Realizarei a quitação do meu cartão de credito e NUNCA MAIS QUERO OUVIR O NOME DESSA INTITUIÇÃO, FOI A PIOR EXPERENCIA QUE JA TIVE..DEGRADANTE, HUMILHANTE, EU COM CERTEZA DIREI A TODAS AS PESSOAS QUE EU PUDER PARA QUE NÃO TENHAM EM HIPOTESE ALGUMA CONTA NO C6.",1.0
Vinícius Paulino,"Acabei de realizar o cancelamento da minha conta e cartão. Tinha o C6 Carbon Black, com um limite bom. Entretanto, acredito que aconteceu algum problema financeiro com o banco, que o forçou a reduzir drasticamente o limite dos clientes, exigindo deles investimento em seu CDB cartão de crédito para conseguir aumento de limite, e consequentemente injetar dinheiro no banco. A anuidade aumentou consideravelmente, e foram cortados os acessos autônomos às salas vip dos cartões adicionais, que agora passaram a ser compartilhados com os 4 acessos anuais do cartão principal. Então não compensa mais. Há outros cartões muito melhores no mercado, com limite alto e acesso ilimitado a salas vip.",1.0
Leonardo Veloso,"Fiz um pedido para trocar a tag não consegui desbloquear, aí me falaram q e pq eu pedi um tag adicional, mas se é adicional automaticamente será para outra placa, uma coisa tão simples e me deram 5 dias úteis para me dar uma resposta, e não para solucionar o problema....como acreditar nesses bancos digitais...",1.0
Clayton Marques,"A nota é 1 pq não tem como ser 0.

O pior banco que ja trabalhei.
está cobrando mensalidade sem avisar o cliente que iria cobrar.
Fiz um deposito por boleto em 01/08/2023, onde no proprio boleto estava escrito que em até 2 dias uteis cai na conta. hoje 05/08/2023 o dinheiro e os atendentes são todos sem o minino de vontade de trabalhar. desligam na cara da gente, transfere para URA sem avisar, para cair com outro colega, são pessoas totalmente despreparadas e sem o minino de respeito.
Pessimo, não recomendo a ninguem",1.0
Gui Vieira,"Pleno mês de julho, paguei 70% das contas pagas, quando fui pagar as contas mais altas, cartão de crédito, entrada pro carro novo, o app simplesmente começa a dar erro no pagamento e resolve tirar meu token, ou seja, estou sem acesso ao MEU DINHEIRO. impossível entrar em contato por chat pq precisa de TOKEN. Toda vez que eu tento refazer o token aparece ERRO, TENTE NOVAMENTE. Por ligação o atendente virtual simplesmente trava na frase “OPÇÃO INVALIDA”. Preciso ser atendido AGORA! Meu dinheiro está travado no app e não tenho nenhuma forma de contato com o banco",1.0
Bereano,"Há algum tempo participei do processo seletivo do C6. A ""headhunter"" Talita simplesmente parou de me responder no whatsapo e não atendia mais minhas ligações após várias etapas do processo ja cumpridas. Nunca recebi uma resposta formal de aprovação ou reprovação. A falta de ética do C6 já se percebe no processo seletivo.",1.0
